Krajský súd v Bratislave	30 167
Okresný súd Bratislava I	136 037
Okresný súd Bratislava II	20 723
Okresný súd Bratislava III	99 471
Okresný súd Bratislava IV	19 224
Okresný súd Bratislava V	22 882
Okresný súd Malacky	0
Okresný súd Pezinok	3 826
	
Krajský súd v Trnave	1 446
Okresný súd Trnava	60 538
Okresný súd Dunajská Streda	8 285
Okresný súd Galanta	2 246
Okresný súd Senica	16 110
Okresný súd Piešťany	33 650
Okresný súd Skalica	11 500
	
Krajský súd v Nitre	2 243
Okresný súd Nitra	6 775
Okresný súd Komárno	6 740
Okresný súd Levice	2 255
Okresný súd Nové Zámky	0
Okresný súd Topoľčany	5 478
	
Krajský súd v Trenčíne	303
Okresný súd Trenčín	12 592
Okresný súd Bánovce nad Bebravou	2 873
Okresný súd Nové Mesto nad Váhom	2 901
Okresný súd Partizánske	0
Okresný súd Považská Bystrica	0
Okresný súd Prievidza	8 501
	
Krajský súd v Žiline	5 164
Okresný súd Žilina	80 128
Okresný súd Čadca	40 446
Okresný súd Dolný Kubín	29 294
Okresný súd Liptovský Mikuláš	0
Okresný súd Martin	19 777
Okresný súd Námestovo	12 802
Okresný súd Ružomberok	0
	
Krajský súd v Banskej Bystrici	4 049
Okresný súd Banská Bystrica	24 762
Okresný súd Brezno	33
Okresný súd Lučenec	0
Okresný súd Revúca	0
Okresný súd Rimavská Sobota	2 899
Okresný súd Veľký Krtíš	1 255
Okresný súd Zvolen	4 702
Okresný súd Žiar nad  Hronom	0
	
Krajský súd v Prešove	893
Okresný súd Prešov	14 032
Okresný súd Bardejov	18 022
Okresný súd Humenné	15 826
Okresný súd Kežmarok	9 288
Okresný súd Poprad	17 458
Okresný súd Stará Ľubovňa	1 303
Okresný súd Svidník	2 246
Okresný súd Vranov nad Topľou	0
	
Krajský súd v Košiciach	8 679
Okresný súd Košice I	131 279
Okresný súd Košice II	70 354
Okresný súd Košice - okolie	46 387
Okresný súd Michalovce	14 005
Okresný súd Rožňava	14 204
Okresný súd Spišská Nová Ves	5 746
Okresný súd Trebišov	1 185

