"Súd"	"Rok"	"Agenda"	"Počet1"	"Počet2"	"Počet3"	"Počet4"	"Poťet5"
"Priemer SR pre krajské súdy"	2012	"Cb"	"NULL"	3	5	3	13
"Priemer SR pre krajské súdy"	2012	"Cbi"	1	4	8	4	8
"Priemer SR pre krajské súdy"	2012	"Co"	136	117	15	117	67
"Priemer SR pre krajské súdy"	2012	"Cob"	103	97	17	97	46
"Priemer SR pre krajské súdy"	2012	"CoD"	5	5	"NULL"	5	2
"Priemer SR pre krajské súdy"	2012	"CoE"	139	134	"NULL"	134	46
"Priemer SR pre krajské súdy"	2012	"CoKR"	10	9	"NULL"	9	4
"Priemer SR pre krajské súdy"	2012	"CoP"	32	30	"NULL"	30	6
"Priemer SR pre krajské súdy"	2012	"CoPr"	2	2	"NULL"	2	1
"Priemer SR pre krajské súdy"	2012	"CoZm"	6	5	"NULL"	5	3
"Priemer SR pre krajské súdy"	2012	"Cudz"	1	1	"NULL"	1	"NULL"
"Priemer SR pre krajské súdy"	2012	"K"	1	39	11	41	195
"Priemer SR pre krajské súdy"	2012	"Ncb"	6	6	"NULL"	6	"NULL"
"Priemer SR pre krajské súdy"	2012	"NcC"	144	144	"NULL"	144	2
"Priemer SR pre krajské súdy"	2012	"NcCb"	1	1	"NULL"	1	"NULL"
"Priemer SR pre krajské súdy"	2012	"NcKV"	4	4	"NULL"	4	"NULL"
"Priemer SR pre krajské súdy"	2012	"Ntc"	4	3	"NULL"	3	1
"Priemer SR pre krajské súdy"	2012	"Nto"	5	5	3	5	"NULL"
"Priemer SR pre krajské súdy"	2012	"Ntt"	27	27	"NULL"	27	"NULL"
"Priemer SR pre krajské súdy"	2012	"S"	238	66	35	57	267
"Priemer SR pre krajské súdy"	2012	"Saz"	7	6	3	4	4
"Priemer SR pre krajské súdy"	2012	"Scud"	3	4	3	3	4
"Priemer SR pre krajské súdy"	2012	"Sd"	92	88	74	86	51
"Priemer SR pre krajské súdy"	2012	"So"	1	1	"NULL"	1	"NULL"
"Priemer SR pre krajské súdy"	2012	"Sp"	23	19	13	18	18
"Priemer SR pre krajské súdy"	2012	"T"	"NULL"	"NULL"	2	"NULL"	1
"Priemer SR pre krajské súdy"	2012	"To"	46	46	39	46	10
"Priemer SR pre krajské súdy"	2012	"Tos"	44	44	35	44	2
"Priemer SR pre krajské súdy"	2012	"Tov"	1	1	"NULL"	1	"NULL"
"Priemer SR pre krajské súdy"	2012	"Tpo"	21	21	21	21	"NULL"
"Priemer SR pre krajské súdy"	2012	"Zm"	"NULL"	"NULL"	"NULL"	"NULL"	1
"Priemer SR pre okresné súdy"	2012	"C"	808	649	729	624	753
"Priemer SR pre okresné súdy"	2012	"Cb"	277	314	420	304	338
"Priemer SR pre okresné súdy"	2012	"Cbcud"	7	7	"NULL"	8	3
"Priemer SR pre okresné súdy"	2012	"Cbd"	2	3	"NULL"	3	1
"Priemer SR pre okresné súdy"	2012	"Cbi"	36	37	64	31	174
"Priemer SR pre okresné súdy"	2012	"CbPv"	9	6	12	6	18
"Priemer SR pre okresné súdy"	2012	"CbR"	166	156	"NULL"	179	228
"Priemer SR pre okresné súdy"	2012	"CbZm"	21	15	38	15	35
"Priemer SR pre okresné súdy"	2012	"Ccud"	44	46	"NULL"	46	6
"Priemer SR pre okresné súdy"	2012	"Cd"	6	6	"NULL"	6	2
"Priemer SR pre okresné súdy"	2012	"Cpr"	9	6	11	4	8
"Priemer SR pre okresné súdy"	2012	"D"	954	928	"NULL"	959	508
"Priemer SR pre okresné súdy"	2012	"Dcud"	4	4	"NULL"	4	2
"Priemer SR pre okresné súdy"	2012	"Dd"	93	92	"NULL"	92	14
"Priemer SR pre okresné súdy"	2012	"E"	6	6	"NULL"	15	23
"Priemer SR pre okresné súdy"	2012	"Ecud"	7	4	"NULL"	4	4
"Priemer SR pre okresné súdy"	2012	"Ed"	3	4	"NULL"	5	6
"Priemer SR pre okresné súdy"	2012	"Em"	5	4	1	4	8
"Priemer SR pre okresné súdy"	2012	"Er"	6243	5248	1	6199	536
"Priemer SR pre okresné súdy"	2012	"Ercud"	2	1	"NULL"	2	1
"Priemer SR pre okresné súdy"	2012	"Erd"	7	6	"NULL"	7	1
"Priemer SR pre okresné súdy"	2012	"Exre"	695	780	"NULL"	779	570
"Priemer SR pre okresné súdy"	2012	"K"	141	110	25	115	134
"Priemer SR pre okresné súdy"	2012	"NcKR"	11	4	4	3	24
"Priemer SR pre okresné súdy"	2012	"Nsre"	230	230	"NULL"	230	8
"Priemer SR pre okresné súdy"	2012	"Nt"	34	31	4	35	12
"Priemer SR pre okresné súdy"	2012	"Ntt"	78	63	"NULL"	78	"NULL"
"Priemer SR pre okresné súdy"	2012	"P"	467	446	531	426	215
"Priemer SR pre okresné súdy"	2012	"Pcud"	4	4	"NULL"	4	1
"Priemer SR pre okresné súdy"	2012	"Pd"	9	9	"NULL"	9	1
"Priemer SR pre okresné súdy"	2012	"Po"	8	9	"NULL"	9	2
"Priemer SR pre okresné súdy"	2012	"Pp"	81	65	9	82	11
"Priemer SR pre okresné súdy"	2012	"PPOm"	4	4	"NULL"	4	"NULL"
"Priemer SR pre okresné súdy"	2012	"Ps"	13	11	15	14	8
"Priemer SR pre okresné súdy"	2012	"Pu"	27	27	"NULL"	27	1
"Priemer SR pre okresné súdy"	2012	"R"	13	11	"NULL"	11	12
"Priemer SR pre okresné súdy"	2012	"Ro"	0	0	"NULL"	0	0
"Priemer SR pre okresné súdy"	2012	"Rob"	0	0	"NULL"	0	0
"Priemer SR pre okresné súdy"	2012	"S"	5	6	"NULL"	5	2
"Priemer SR pre okresné súdy"	2012	"T"	217	238	71	220	96
"Priemer SR pre okresné súdy"	2012	"Tcud"	1	1	"NULL"	1	1
"Priemer SR pre okresné súdy"	2012	"Td"	2	2	"NULL"	2	"NULL"
"Priemer SR pre okresné súdy"	2012	"Tp"	100	79	"NULL"	100	4
"Priemer SR pre okresné súdy"	2012	"Tv"	3	2	2	3	7
"Priemer SR pre okresné súdy"	2012	"U"	42	27	"NULL"	40	139
"Priemer SR pre okresné súdy"	2012	"Zm"	132	167	"NULL"	149	175
"Najvyšší súd"	2012	"Cdo"	112	79	0	79	58
"Najvyšší súd"	2012	"CdoV"	1	1	0	1	0
"Najvyšší súd"	2012	"Co"	3	2	0	2	1
"Najvyšší súd"	2012	"MCdo"	11	6	0	6	11
"Najvyšší súd"	2012	"MObdo"	3	2	0	2	2
"Najvyšší súd"	2012	"MObdV"	1	1	0	1	1
"Najvyšší súd"	2012	"Nc"	5	5	0	5	0
"Najvyšší súd"	2012	"Ndc"	9	9	0	9	1
"Najvyšší súd"	2012	"Ndob"	11	11	0	11	1
"Najvyšší súd"	2012	"Nds"	9	9	0	9	0
"Najvyšší súd"	2012	"Ndt"	6	6	0	6	0
"Najvyšší súd"	2012	"Ndz"	2	2	0	2	0
"Najvyšší súd"	2012	"Ntv"	0	0	0	0	0
"Najvyšší súd"	2012	"Obdo"	21	18	0	18	11
"Najvyšší súd"	2012	"ObdoV"	5	6	0	6	3
"Najvyšší súd"	2012	"Obo"	36	30	4	30	22
"Najvyšší súd"	2012	"Rkc"	0	0	0	0	0
"Najvyšší súd"	2012	"Rko"	0	0	0	0	0
"Najvyšší súd"	2012	"Rks"	1	1	0	1	0
"Najvyšší súd"	2012	"Sdo"	5	7	0	7	1
"Najvyšší súd"	2012	"So"	41	37	0	37	27
"Najvyšší súd"	2012	"Sr"	0	0	0	0	0
"Najvyšší súd"	2012	"Sv"	0	0	0	0	0
"Najvyšší súd"	2012	"Svzn"	0	0	0	0	0
"Najvyšší súd"	2012	"SZa"	3	3	0	3	0
"Najvyšší súd"	2012	"Szd"	0	0	0	0	0
"Najvyšší súd"	2012	"Sž"	11	11	5	11	4
"Najvyšší súd"	2012	"Sža"	12	12	0	12	2
"Najvyšší súd"	2012	"Sžd"	13	13	1	13	8
"Najvyšší súd"	2012	"Sžf"	37	22	0	22	27
"Najvyšší súd"	2012	"Sžh"	0	0	0	0	1
"Najvyšší súd"	2012	"Sžhpu"	0	0	0	0	1
"Najvyšší súd"	2012	"Sžhuv"	2	1	0	1	2
"Najvyšší súd"	2012	"Sži"	7	5	0	5	2
"Najvyšší súd"	2012	"Sžnč"	2	2	0	2	1
"Najvyšší súd"	2012	"Sžo"	23	22	0	22	10
"Najvyšší súd"	2012	"Sžp"	12	9	0	9	8
"Najvyšší súd"	2012	"Sžr"	49	46	0	46	30
"Najvyšší súd"	2012	"Sžso"	12	12	0	12	10
"Najvyšší súd"	2012	"Sžz"	2	2	1	2	0
"Najvyšší súd"	2012	"Tdo"	27	27	1	27	4
"Najvyšší súd"	2012	"TdoV"	5	3	0	3	2
"Najvyšší súd"	2012	"To"	3	4	2	4	1
"Najvyšší súd"	2012	"Tost"	15	16	0	16	1
"Najvyšší súd"	2012	"Uro"	0	0	0	0	0
"Najvyšší súd"	2012	"Urto"	1	1	0	1	0
"Krajský súd Bratislava"	2012	"C"	1	1	"NULL"	1	"NULL"
"Krajský súd Bratislava"	2012	"Cb"	1	5	11	4	16
"Krajský súd Bratislava"	2012	"Cbi"	2	6	12	5	11
"Krajský súd Bratislava"	2012	"Cbs"	"NULL"	"NULL"	1	"NULL"	"NULL"
"Krajský súd Bratislava"	2012	"Co"	160	136	18	136	95
"Krajský súd Bratislava"	2012	"Cob"	115	103	30	103	75
"Krajský súd Bratislava"	2012	"CoD"	5	5	"NULL"	5	1
"Krajský súd Bratislava"	2012	"CoE"	47	43	"NULL"	43	31
"Krajský súd Bratislava"	2012	"CoKR"	12	12	1	12	5
"Krajský súd Bratislava"	2012	"CoP"	23	21	1	21	6
"Krajský súd Bratislava"	2012	"CoPr"	1	1	"NULL"	1	1
"Krajský súd Bratislava"	2012	"CoZm"	13	8	2	8	8
"Krajský súd Bratislava"	2012	"Cudz"	6	6	"NULL"	6	"NULL"
"Krajský súd Bratislava"	2012	"K"	1	37	17	36	153
"Krajský súd Bratislava"	2012	"Ncb"	8	8	"NULL"	8	"NULL"
"Krajský súd Bratislava"	2012	"NcC"	107	108	"NULL"	108	1
"Krajský súd Bratislava"	2012	"Ntc"	7	5	"NULL"	5	18
"Krajský súd Bratislava"	2012	"Nto"	3	3	"NULL"	3	"NULL"
"Krajský súd Bratislava"	2012	"Ntok"	1	"NULL"	"NULL"	1	1
"Krajský súd Bratislava"	2012	"Ntt"	116	116	"NULL"	116	116
"Krajský súd Bratislava"	2012	"S"	747	93	42	88	811
"Krajský súd Bratislava"	2012	"Saz"	8	7	5	5	5
"Krajský súd Bratislava"	2012	"Scud"	8	11	11	11	12
"Krajský súd Bratislava"	2012	"Sd"	34	32	32	29	41
"Krajský súd Bratislava"	2012	"So"	1	1	"NULL"	1	"NULL"
"Krajský súd Bratislava"	2012	"Sp"	16	9	6	9	18
"Krajský súd Bratislava"	2012	"T"	"NULL"	"NULL"	"NULL"	"NULL"	1
"Krajský súd Bratislava"	2012	"To"	56	55	41	55	12
"Krajský súd Bratislava"	2012	"Tos"	49	49	13	49	3
"Krajský súd Bratislava"	2012	"Tpo"	38	37	"NULL"	37	1
"Krajský súd Bratislava"	2012	"V"	"NULL"	"NULL"	"NULL"	"NULL"	1
"Okresný súd Bratislava I"	2012	"C"	308	326	426	303	629
"Okresný súd Bratislava I"	2012	"Cb"	264	305	290	273	689
"Okresný súd Bratislava I"	2012	"Cbcud"	13	14	"NULL"	14	11
"Okresný súd Bratislava I"	2012	"Cbd"	2	1	"NULL"	1	2
"Okresný súd Bratislava I"	2012	"Cbi"	36	27	33	23	438
"Okresný súd Bratislava I"	2012	"CbPv"	9	8	7	5	23
"Okresný súd Bratislava I"	2012	"CbR"	189	234	"NULL"	234	249
"Okresný súd Bratislava I"	2012	"Ccud"	8	8	"NULL"	8	2
"Okresný súd Bratislava I"	2012	"Cd"	3	4	1	4	1
"Okresný súd Bratislava I"	2012	"Cpr"	13	3	7	2	14
"Okresný súd Bratislava I"	2012	"D"	318	333	"NULL"	326	225
"Okresný súd Bratislava I"	2012	"Dcud"	55	40	"NULL"	40	35
"Okresný súd Bratislava I"	2012	"Dd"	11	11	"NULL"	11	4
"Okresný súd Bratislava I"	2012	"Ecud"	9	6	"NULL"	6	7
"Okresný súd Bratislava I"	2012	"Ed"	2	4	"NULL"	4	1
