category	subcategory	abbreviation	description	note
Okresný súd	Trestnoprávna agenda (T, Tv, Nt, Pp, Td, Tp, Tcud, Ntt)	T*	prokurátor podal obžalobu alebo návrh na schválenie dohody o uznaní viny a prijatí trestu.	Platí aj pre Špecializovaný trestný súd
Okresný súd	Trestnoprávna agenda (T, Tv, Nt, Pp, Td, Tp, Tcud, Ntt)	Tv	prokurátor podal obžalobu alebo návrh na schválenie dohody o uznaní viny a prijatí trestu podľa § 16 ods. 2 TP.	
Okresný súd	Trestnoprávna agenda (T, Tv, Nt, Pp, Td, Tp, Tcud, Ntt)	Nt*	zahladenia odsúdenia (obnova konania, skrátenie trestu ...), návrh na uloženie ochranných opatrení (napr. liečenie, dohľad …)	Platí aj pre Špecializovaný trestný súd
Okresný súd	Trestnoprávna agenda (T, Tv, Nt, Pp, Td, Tp, Tcud, Ntt)	Pp	návrh na podmienečné prepustenie	
Okresný súd	Trestnoprávna agenda (T, Tv, Nt, Pp, Td, Tp, Tcud, Ntt)	Td	žiadosti o právnu pomoc v rámci Slovenskej republiky. 	
Okresný súd	Trestnoprávna agenda (T, Tv, Nt, Pp, Td, Tp, Tcud, Ntt)	Tp* (prípravné konanie)	návrh na vydanie zatykaču, vzatie do väzby, domová prehliadka, vyšetrenie alebo určenie obhajcu	Platí aj pre Špecializovaný trestný súd
Okresný súd	Trestnoprávna agenda (T, Tv, Nt, Pp, Td, Tp, Tcud, Ntt)	Tcud	vydanie osoby zo SR do cudziny a veci súvisiace s tým	
Okresný súd	Trestnoprávna agenda (T, Tv, Nt, Pp, Td, Tp, Tcud, Ntt)	Ntt*	veci podľa § 24 ods. 4 Trestného poriadku, ak o nich rozhoduje okresný súd.	Platí aj pre Špecializovaný trestný súd
Okresný súd	Občianskoprávna agenda (C, Cpr, Cd, CCud)	C	návrh na začatie konania v občianskoprávnych veciach	
Okresný súd	Občianskoprávna agenda (C, Cpr, Cd, CCud)	Cpr	návrhy v pracovnoprávnych a obdobných sporoch. 	
Okresný súd	Občianskoprávna agenda (C, Cpr, Cd, CCud)	Cd	tuzemské dožiadanie iných súdov v občianskoprávnej veci 	
Okresný súd	Občianskoprávna agenda (C, Cpr, Cd, CCud)	Ccud	dožiadania cudzích orgánov v občianskych veciach a iné úkony vo vzťahu k cudzine	
Okresný súd	Obchodnoprávna agenda (Cb, Zm, CbPv, Cbcud, CbR, Cbd, CbBu, CbHs, Cbi, CbZm)	Cb 	návrh na začatie konania v obchodných veciach	
Okresný súd	Obchodnoprávna agenda (Cb, Zm, CbPv, Cbcud, CbR, Cbd, CbBu, CbHs, Cbi, CbZm)	Zm 	návrhy na vydanie zmenkového alebo šekového platobného rozkazu, návrh vo veciach podľa § 175 ods. 4 Občianskeho súdneho poriadku a zmenkové protesty.	
Okresný súd	Obchodnoprávna agenda (Cb, Zm, CbPv, Cbcud, CbR, Cbd, CbBu, CbHs, Cbi, CbZm)	CbPv 	návrhy, ktorých predmetom sú vzťahy vyplývajúce z práv priemyselného vlastníctva upravených osobitnými predpismi	
Okresný súd	Obchodnoprávna agenda (Cb, Zm, CbPv, Cbcud, CbR, Cbd, CbBu, CbHs, Cbi, CbZm)	Cbcud 	dožiadania cudzích orgánov v obchodných veciach a iné úkony vo vzťahu k cudzine	
Okresný súd	Obchodnoprávna agenda (Cb, Zm, CbPv, Cbcud, CbR, Cbd, CbBu, CbHs, Cbi, CbZm)	CbR 	návrhy na začatie konania, v ktorých je daná príslušnosť registrového súdu podľa § 200e Občianskeho súdneho poriadku. 	
Okresný súd	Obchodnoprávna agenda (Cb, Zm, CbPv, Cbcud, CbR, Cbd, CbBu, CbHs, Cbi, CbZm)	Cbd 	tuzemské dožiadania v obchodnoprávnej veci	
Okresný súd	Obchodnoprávna agenda (Cb, Zm, CbPv, Cbcud, CbR, Cbd, CbBu, CbHs, Cbi, CbZm)	CbBu 	návrhy, ktorých predmet vyplýva z burzových obchodov a ich sprostredkovania. 	
Okresný súd	Obchodnoprávna agenda (Cb, Zm, CbPv, Cbcud, CbR, Cbd, CbBu, CbHs, Cbi, CbZm)	CbHs 	veci, ktorých predmetom je ochrana práv z hospodárskej súťaže. 	
Okresný súd	Obchodnoprávna agenda (Cb, Zm, CbPv, Cbcud, CbR, Cbd, CbBu, CbHs, Cbi, CbZm)	Cbi 	návrhy v sporoch vyvolaných konkurzom a reštrukturalizáciou alebo súvisiacich s konkurzom a reštrukturalizáciou. 	
Okresný súd	Obchodnoprávna agenda (Cb, Zm, CbPv, Cbcud, CbR, Cbd, CbBu, CbHs, Cbi, CbZm)	CbZm 	návrhy ktorých predmet vyplýva zo zmenky alebo šeku podľa zmenkového alebo šekového zákona	
Okresný súd	Konkurz a reštrukturalizácia (K, R, NcKR)	K 	návrhy na vyhlásenie konkurzu podľa zákona č. 7/2005 Z. z. 	
Okresný súd	Konkurz a reštrukturalizácia (K, R, NcKR)	R 	zapisujú sa návrhy na povolenie reštrukturalizácie podľa zákona č. 7/2005 Z. z.	
Okresný súd	Konkurz a reštrukturalizácia (K, R, NcKR)	NcKR 	zapisujú sa iné podania okrem návrhov podľa prvého a druhého bodu vzťahujúce sa na konania podľa zákona č. 7/2005 Z. z. o konkurze a reštrukturalizácii	
Okresný súd	Rodinnoprávna agenda (P, PPOm, Ps, Po, Pu, Pd, Pcud)	P 	veci podľa zákona č. 36/2005 Z. z. o rodine, ak sa nezapisujú do súdnych registrov PPOm, Ps, Po, Pú, Pd, Pcud a návrh na vyhlásenie za mŕtveho. 	
Okresný súd	Rodinnoprávna agenda (P, PPOm, Ps, Po, Pu, Pd, Pcud)	PPOm 	návrhy na nariadenie predbežného opatrenie podľa § 75a Občianskeho súdneho poriadku. 	
Okresný súd	Rodinnoprávna agenda (P, PPOm, Ps, Po, Pu, Pd, Pcud)	Ps 	návrh na pozbavenie alebo vrátenie spôsobilosti na právne úkony. 	
Okresný súd	Rodinnoprávna agenda (P, PPOm, Ps, Po, Pu, Pd, Pcud)	Po 	vec vyhlásenia o uznaní otcovstva.	
Okresný súd	Rodinnoprávna agenda (P, PPOm, Ps, Po, Pu, Pd, Pcud)	Pu 	konanie o vyslovenie prípustnosti prevzatia alebo držania v ústave zdravotnej starostlivosti. 	
