meno	datum menovania	typ menovania
Mgr. Zuzana ANTALOVÁ 	13.9.1995	n/a
JUDr. Michal CALKO 	13.9.1995	n/a
JUDr. Iveta DEKÝŠOVÁ 	13.9.1995	n/a
JUDr. Zuzana DORICOVÁ 	13.9.1995	n/a
JUDr. Jana DUBIVSKÁ 	13.9.1995	n/a
Mgr. Eva FRANKOVÁ 	13.9.1995	n/a
Mgr. Ing. Ján GANDŽALA 	13.9.1995	n/a
Mgr. Marián HATALA 	13.9.1995	n/a
JUDr. Iveta JENČOVÁ 	13.9.1995	n/a
JUDr. Igor KRÁLIK 	13.9.1995	n/a
JUDr. Ľubica KRIŠKOVÁ 	13.9.1995	n/a
JUDr. Darina KRIVÁŇOVÁ 	13.9.1995	n/a
Mgr. Ľuboš KUNAY 	13.9.1995	n/a
JUDr. Jozef MIKLUŠ 	13.9.1995	n/a
Mgr. Tomáš NOVÁK 	13.9.1995	n/a
Mgr. Peter TUTKO 	13.9.1995	n/a
JUDr. Jana URBANOVÁ 	13.9.1995	n/a
JUDr. Eva ŽELEZNÍKOVÁ 	13.9.1995	n/a
JUDr. Iveta Abelovská 	19.5.1998	bez obmedzenia
JUDr. Ľubica Adamčíková 	1.2.1996	n/a
JUDr. Ľubica Adamčíková 	21.1.2000	bez obmedzenia
Mgr. Nina Alexová 	26.3.1998	4 - ročný mandát
Mgr. Stella Al-Khufashová 	20.3.1996	n/a
Mgr. Stella Al-Khufashová 	14.3.2000	bez obmedzenia
JUDr. Ivan Alman 	1.7.1996	n/a
JUDr. Ivan Alman 	15.6.2000	bez obmedzenia
Mgr. Magdaléna Andreánska 	26.3.1998	4 - ročný mandát
Mgr. Ivan Antal 	19.5.1998	bez obmedzenia
JUDr. Alena Antalová 	11.2.1997	bez obmedzenia
Mgr. Michala Antalu 	17.10.2000	bez obmedzenia
JUDr. Jana Árendášová 	12.12.1996	bez obmedzenia
JUDr. Marianna Arnoldová, CSc.	19.5.1998	bez obmedzenia
Mgr. Renáta AUDOVÁ 	10.5.1995	n/a
JUDr. Ján AUXT 	10.5.1995	n/a
JUDr. Jarmila Badíková 	8.7.1998	bez obmedzenia
JUDr. Oľga Bahníková 	12.12.1996	bez obmedzenia
Mgr. Zuzana Bajlovú 	17.10.2000	bez obmedzenia
Mgr. Ľuboš Baka 	12.12.1996	4 - ročný mandát
Mgr. Ľuboš Baka 	6.12.2000	bez obmedzenia
Mgr. Jana Bakičová 	19.5.1998	bez obmedzenia
Mgr. Denisa Bakytová 	1.2.1996	n/a
Mgr. Ľubica Balalová 	6.12.2000	4 - ročný mandát
Mgr. Angela Balászová 	8.7.1998	bez obmedzenia
JUDr. Monika Balážová 	12.12.1996	bez obmedzenia
JUDr. Martin Bargel 	1.2.1996	n/a
JUDr. Martin Bargel 	21.1.2000	bez obmedzenia
JUDr. Gabriela Bargelová 	19.5.1998	bez obmedzenia
Mgr. Barbora Barteková 	19.5.1998	bez obmedzenia
Mgr. Peter Bebej 	1.2.1996	n/a
Mgr. Peter Bebej 	21.1.2000	bez obmedzenia
mjr. Mgr. Ján Bednár 	1.2.1996	n/a
pplk. Mgr. Ján Bednár 	21.1.2000	bez obmedzenia
JUDr. Otília Belavá 	19.5.1998	bez obmedzenia
JUDr. Eva Benčová 	1.2.1996	n/a
JUDr. Eva Benčová 	21.1.2000	bez obmedzenia
Mgr. Katarínu Beniačovú 	17.10.2000	bez obmedzenia
Mgr. František Berec 	26.3.1998	4 - ročný mandát
Mgr. Daniela Béreša 	17.10.2000	bez obmedzenia
Dr. Elena Berthotyová 	19.5.1998	bez obmedzenia
Mgr. Viera BETÁKOVÁ 	10.5.1995	n/a
Mgr. Vladimír Bezák 	1.2.1996	n/a
Mgr. Vladimír Bezák 	21.1.2000	bez obmedzenia
Mgr. Alena Bieliková 	26.3.1998	4 - ročný mandát
Agneša Binková 	12.12.1996	bez obmedzenia
Mgr. Eva BÍRÓOVÁ 	10.5.1995	n/a
JUDr. Silvia Biskupičová 	19.5.1998	bez obmedzenia
