name	date	type
Lucia Baňacká	13.05.2013
Katarína Bartalská	13.05.2013
Michala Bašticová	13.05.2013
Ladislav Bujňák	13.05.2013
Denisa Cviková	13.05.2013
Michal Dzurdzík	13.05.2013
Štefan Fedor	13.05.2013
Marianna Hašková	13.05.2013
Peter Hvizdoš	13.05.2013
Jaroslav Ivan	13.05.2013
Monika Jakubová	13.05.2013
Michal Kačáni	13.05.2013
Zuzana Štubniaková Kochanová	13.05.2013
Daniel Koneracký	13.05.2013
Lenka Kvasnicová	13.05.2013
Miroslava Kvetková	13.05.2013
Viktor Marko	13.05.2013
Zuzana Maruniaková	13.05.2013
Eva Matulayová	13.05.2013
Terézia Mecelová	13.05.2013
Marek Mikulčík	13.05.2013
Jana Novotná  Mlinárcsiková	13.05.2013
Marcela Ostrihoňová	13.05.2013
Miriam Oswaldová	13.05.2013
Jana Raganová	13.05.2013
Jana Tóthová	13.05.2013
Erika Trtalová	13.05.2013
Juraj Valášek	13.05.2013
Laura Žideková	13.05.2013
Martina Dubovcová 	12.02.2013
Eva Dzúriková 	12.02.2013
Lívia Gombárová 	12.02.2013
Hana Hubináková 	12.02.2013
Erik Kačmár 	12.02.2013
Juraj Lukáč 	12.02.2013
Martina Ľachová 	12.02.2013
Jana Očenášová 	12.02.2013
Iveta Sopková 	12.02.2013
Peter Straka 	12.02.2013
Ľubomír Šabla 	12.02.2013
Zuzana Hartelová 	17.01.2011
Ingrid Kalináková 	17.01.2011
Zuzana Kudlovská 	17.01.2011
Roman Majerský 	17.01.2011
Janka Danková 	29.06.2010
Ivana Hanuščáková 	29.06.2010
Milan Husťák 	29.06.2010
Viera Jaňovková 	29.06.2010
Petr Kaňa 	29.06.2010
Alexandra Kolcunová 	29.06.2010
Martin Kopina 	29.06.2010
Dušan Krč-Šebera 	29.06.2010
Martina Melníková 	29.06.2010
Renáta Mihalíková 	29.06.2010
Zuzana Miklošová 	29.06.2010
Erika Némethová Stiffelová 	29.06.2010
Jana Ocelková 	29.06.2010
Mária Ondrejová 	29.06.2010
Alexandra Osadská 	29.06.2010
Zuzana Pilátová 	29.06.2010
Miriam Repáková 	29.06.2010
Ivan Šimek 	29.06.2010
Martin Štubniak 	29.06.2010
Silvia Tisová 	29.06.2010
Erik Uhlár 	29.06.2010
Michal Uhorskai 	29.06.2010
Dana Vaľková 	29.06.2010
Rastislav Varga 	29.06.2010
Vladimír Varga 	29.06.2010
Lucia Vícenová 	29.06.2010
Nadežda Wallnerová 	29.06.2010
Radoslav Baláž 	25.01.2010
Monika Dubjel 	25.01.2010
Martina Ivičicová 	25.01.2010
Alena Jančulová 	25.01.2010
Andrea Krišková 	25.01.2010
Juraj Kubaský 	25.01.2010
Ivan Kubínyi 	25.01.2010
Zita Leimbergerová 	25.01.2010
Zuzana Levkušová 	25.01.2010
Patrícia Skotnická 	25.01.2010
Katarína Škultétyová 	25.01.2010
Adela Unčovská 	25.01.2010
Slavomír Ivanecký 	17.06.2009
Katarína Katková 	17.06.2009
Natália Kolláriková 	17.06.2009
Andrej Matušovic 	17.06.2009
Andrea Sedláčková 	17.06.2009
Vladimíra Slobodová 	17.06.2009
Marek Anovčin 	04.02.2009
Radovan Groman 	04.02.2009
Beáta Kaťuchová 	04.02.2009
Jana Keselicová 	04.02.2009
Eva Mészárosová 	04.02.2009
Igor Ragan 	04.02.2009
Miriam Srogončíková 	04.02.2009
Andrej Stachovič 	04.02.2009
Agáta Štefaničová 	04.02.2009
Ľubov Vargová 	04.02.2009
Jozef Zlocha 	04.02.2009
Zuzana Biščáková 	24.09.2008
Zuzana Gajerová 	24.09.2008
Andrea Hadnagyová 	24.09.2008
Peter Koman 	24.09.2008
Andrea Kondllová 	24.09.2008
Michaela Králová 	24.09.2008
Ľubomíra Krchníková 	24.09.2008
Karol Krochta 	24.09.2008
Silvia Minková 	24.09.2008
Jana Mitková 	24.09.2008
Mariana Philadelphyová 	24.09.2008
Daniela Pilarčíková 	24.09.2008
Miriam Szárazová 	24.09.2008
Marek Šenkár 	24.09.2008
Marek Števček 	24.09.2008
Vladimír Topoľančík 	24.09.2008
Martina Trnavská 	24.09.2008
Stanislav Vojtko 	24.09.2008
Silvio Boleček 	25.06.2008
Boris Brondoš 	25.06.2008
Jana Dudíková 	25.06.2008
Andrea Havírová 	25.06.2008
Mária Jamrišková 	25.06.2008
Miriam Manová 	25.06.2008
Jozef Medveď 	25.06.2008
Kamil Petrovič 	25.06.2008
Peter Sivák 	25.06.2008
Barbora Ševčíková 	25.06.2008
Pamela Záleská 	25.06.2008
Andrea Gindlová 	17.03.2008
David Lindtner 	17.03.2008
Petra Priečinská 	17.03.2008
Peter Rajńák 	17.03.2008
Peter Šamko 	17.03.2008
Lenka Halmešová 	22.01.2008
Rastislav Kresl 	22.01.2008
Vladimír Kurák 	22.01.2008
Branislav Král 	22.01.2008
Renáta Krajčiová 	22.01.2008
Monika Liptáková 	22.01.2008
Eva Uličná 	22.01.2008
Zuzana Števčeková 	22.01.2008
Marta Barková 	22.01.2008
Boris Buľubaš 	22.01.2008
Jozefína Králová 	22.01.2008
Mária Trubanová 	22.01.2008
Andrea Moravčíková 	22.01.2008
Patrik Príbelský 	22.01.2008
Milena Jakubíková 	22.01.2008
Naďa Pethőová 	22.01.2008
Alena Paveleková 	22.01.2008
Rastislav Sikorjak 	22.01.2008
Peter Csank 	22.01.2008
